x	y	erry
0	0.159	0.001
1.498	0.155	0.001
1.998	0.149	0.001
2.164	0.147	0.001
2.497	0.142	0.001
2.996	0.138	0.001
3.496	0.131	0.001
3.662	0.129	0.001
3.829	0.127	0.001
3.995	0.124	0.001
4.162	0.123	0.001
4.328	0.12	0.001
4.495	0.118	0.001
4.661	0.116	0.001
4.828	0.116	0.001
4.994	0.113	0.001
5.161	0.11	0.001
5.327	0.109	0.001
5.493	0.107	0.001
5.66	0.105	0.001
5.826	0.104	0.001
5.993	0.102	0.001
6.159	1.00E-01	0.001
6.326	9.77E-02	0.001
6.492	9.55E-02	0.001
6.659	9.55E-02	0.001
6.825	9.32E-02	0.001
6.992	9.09E-02	0.001
7.158	8.86E-02	0.001
7.325	8.81E-02	0.001
7.491	8.64E-02	0.001
7.658	8.47E-02	0.001
7.824	8.41E-02	0.001
7.99	8.13E-02	0.001
8.157	7.84E-02	0.001
8.323	7.96E-02	0.001
8.49	7.67E-02	0.001
8.656	7.50E-02	0.001
8.823	7.27E-02	0.001
8.989	7.10E-02	0.001
9.156	7.10E-02	0.001
9.322	6.82E-02	0.001
9.489	6.71E-02	0.001
9.655	6.59E-02	0.001
9.822	6.36E-02	0.001
9.988	6.25E-02	0.001
10.15	6.08E-02	0.001
10.32	6.08E-02	0.001
10.49	5.74E-02	0.001
10.65	5.63E-02	0.001
10.82	5.46E-02	0.001
10.99	5.17E-02	0.001
11.15	4.94E-02	0.001
11.32	4.94E-02	0.001
11.49	4.66E-02	0.001
11.65	4.66E-02	0.001
11.82	4.43E-02	0.001
11.99	4.21E-02	0.001
12.15	3.98E-02	0.001
12.32	3.92E-02	0.001
12.49	3.64E-02	0.001
12.65	3.41E-02	0.001
12.82	3.18E-02	0.001
12.98	3.01E-02	0.001
