x	y	erry
0	0.157	0.001
0.166	0.156	0.001
0.333	0.154	0.001
0.499	0.153	0.001
0.666	0.15	0.001
0.832	0.148	0.001
0.999	0.146	0.001
1.165	0.143	0.001
1.332	0.144	0.001
1.498	0.141	0.001
1.665	0.139	0.001
1.831	0.135	0.001
1.998	0.134	0.001
2.164	0.132	0.001
2.331	0.13	0.001
2.497	0.128	0.001
2.663	0.125	0.001
2.83	0.125	0.001
2.996	0.122	0.001
3.163	0.12	0.001
3.329	0.118	0.001
3.496	0.116	0.001
3.662	0.114	0.001
3.829	0.114	0.001
3.995	0.111	0.001
4.162	0.111	0.001
4.328	0.108	0.001
4.495	0.107	0.001
4.661	0.104	0.001
4.828	0.102	0.001
4.994	0.102	0.001
5.16	0.101	0.001
5.327	9.76E-02	0.001
5.493	9.58E-02	0.001
5.66	9.34E-02	0.001
5.826	9.34E-02	0.001
5.993	9.10E-02	0.001
6.159	8.86E-02	0.001
6.326	8.74E-02	0.001
6.492	8.62E-02	0.001
6.659	8.56E-02	0.001
6.825	8.26E-02	0.001
6.992	7.90E-02	0.001
7.158	7.84E-02	0.001
7.325	7.78E-02	0.001
7.491	7.67E-02	0.001
7.657	7.37E-02	0.001
7.824	7.55E-02	0.001
7.99	7.25E-02	0.001
8.157	6.95E-02	0.001
8.323	6.95E-02	0.001
8.49	6.71E-02	0.001
8.656	6.47E-02	0.001
8.823	6.41E-02	0.001
8.989	6.35E-02	0.001
9.156	6.05E-02	0.001
9.322	5.81E-02	0.001
9.489	5.87E-02	0.001
9.655	5.51E-02	0.001
9.821	5.51E-02	0.001
9.988	5.27E-02	0.001
10.15	5.21E-02	0.001
10.32	5.03E-02	0.001
10.49	4.85E-02	0.001
10.65	4.55E-02	0.001
10.82	4.49E-02	0.001
10.99	4.31E-02	0.001
11.15	4.01E-02	0.001
11.32	4.01E-02	0.001
11.49	3.83E-02	0.001
11.65	3.59E-02	0.001
11.82	3.35E-02	0.001
11.99	3.05E-02	0.001
