x	y	erry
0	0.159	0.001
0.166	0.159	0.001
0.333	0.156	0.001
0.499	0.155	0.001
0.666	0.152	0.001
0.832	0.148	0.001
0.999	0.146	0.001
1.165	0.146	0.001
1.332	0.143	0.001
1.498	0.143	0.001
1.665	0.143	0.001
1.831	0.136	0.001
1.998	0.136	0.001
2.164	0.133	0.001
2.33	0.131	0.001
2.497	0.131	0.001
2.663	0.129	0.001
2.83	0.127	0.001
2.996	0.123	0.001
3.163	0.122	0.001
3.329	0.122	0.001
3.496	0.118	0.001
3.662	0.116	0.001
3.829	0.116	0.001
3.995	0.112	0.001
4.162	0.111	0.001
4.328	0.108	0.001
4.495	0.106	0.001
4.661	0.106	0.001
4.827	0.103	0.001
4.994	1.00E-01	0.001
5.16	1.00E-01	0.001
5.327	9.81E-02	0.001
5.493	9.63E-02	0.001
5.66	9.32E-02	0.001
5.826	9.20E-02	0.001
5.993	9.01E-02	0.001
6.159	8.77E-02	0.001
6.326	8.77E-02	0.001
6.492	8.64E-02	0.001
6.659	8.52E-02	0.001
6.825	8.39E-02	0.001
6.992	8.33E-02	0.001
7.158	7.84E-02	0.001
7.324	7.41E-02	0.001
7.491	7.35E-02	0.001
7.657	7.22E-02	0.001
7.824	7.10E-02	0.001
7.99	7.10E-02	0.001
8.157	6.91E-02	0.001
8.323	6.67E-02	0.001
8.49	6.42E-02	0.001
8.656	6.36E-02	0.001
8.823	6.36E-02	0.001
8.989	6.05E-02	0.001
9.156	5.93E-02	0.001
9.322	5.74E-02	0.001
9.488	5.68E-02	0.001
9.655	5.43E-02	0.001
9.821	5.19E-02	0.001
9.988	5.31E-02	0.001
10.15	5.06E-02	0.001
10.32	4.88E-02	0.001
10.49	4.63E-02	0.001
10.65	4.38E-02	0.001
10.82	4.20E-02	0.001
10.99	3.89E-02	0.001
11.15	3.70E-02	0.001
11.32	3.58E-02	0.001
11.49	3.46E-02	0.001
